T2,SP2,Y2,YN2
19,0,0,16
30,0,0,16
41,0,0,16
53,0,0,16
64,0,0,16
76,0,12,4
89,0,0,16
101,0,12,4
114,0,12,4
128,0,12,4
141,0,0,16
153,0,0,16
166,0,12,4
180,0,12,4
192,0,0,16
205,0,0,16
219,0,12,4
232,0,12,4
245,0,12,4
259,0,2,14
271,0,0,16
284,0,12,4
296,0,0,16
309,0,0,16
321,0,0,16
334,0,0,16
347,0,13,3
360,0,0,16
372,0,0,16
385,0,0,16
397,0,0,16
410,0,0,16
423,0,12,4
436,0,0,16
448,0,0,16
460,0,0,16
474,0,13,3
488,0,12,4
501,0,12,4
515,0,12,4
527,0,0,16
540,0,13,3
553,0,0,16
566,0,0,16
578,0,0,16
591,0,12,4
605,0,12,4
619,0,12,4
632,0,12,4
646,0,6,10
658,0,12,4
671,0,0,16
684,0,8,8
697,0,12,4
710,0,12,4
723,0,2,14
736,0,0,16
748,0,0,16
761,0,12,4
774,0,0,16
786,0,0,16
799,0,0,16
812,0,0,16
824,0,0,16
836,0,0,16
848,0,0,16
862,0,12,4
875,0,0,16
887,0,0,16
901,0,12,4
914,0,12,4
926,0,0,16
940,0,12,4
953,0,0,16
965,0,0,16
977,0,0,16
990,0,0,16
1003,0,0,16
1016,0,0,16
1030,0,0,16
1044,0,12,4
1058,0,12,4
1073,0,0,16
1086,0,0,16
1100,0,12,4
1114,0,0,16
1128,0,12,4
1142,0,0,16
1157,0,12,4
1170,0,0,16
1183,0,0,16
1198,0,0,16
1211,0,12,4
1225,0,0,16
1239,0,4,12
1252,0,0,16
1266,0,0,16
1281,0,13,3
1295,0,12,4
1309,0,6,10
1323,0,12,4
1337,0,12,4
1351,0,0,16
1364,0,0,16
1378,0,0,16
1391,0,0,16
1405,0,0,16
1419,0,0,16
1432,0,0,16
1446,0,12,4
1461,0,12,4
1475,0,12,4
1489,0,4,12
1504,0,12,4
1517,0,0,16
1531,0,12,4
1546,0,0,16
1559,0,0,16
1573,0,12,4
1587,0,0,16
1601,0,11,5
1615,0,8,8
1629,0,0,16
1642,0,0,16
1655,0,0,16
1670,0,7,9
1683,0,0,16
1696,0,0,16
1710,0,0,16
1723,0,0,16
1737,0,13,3
1753,0,12,4
1766,0,0,16
1779,0,0,16
1794,0,12,4
1808,0,0,16
1821,0,0,16
1835,0,0,16
1849,0,13,3
1863,0,0,16
1876,0,0,16
1891,0,12,4
1904,0,0,16
1917,0,0,16
1932,0,13,3
1947,0,13,3
1960,0,0,16
1974,0,0,16
1988,0,12,4
2002,0,13,3
2017,0,0,16
2030,0,0,16
2043,0,0,16
2057,0,0,16
2071,0,13,3
2085,0,0,16
2099,0,0,16
2112,0,0,16
2125,0,0,16
2140,0,0,16
2154,0,12,4
2167,0,0,16
2181,0,0,16
2194,0,0,16
2208,0,13,3
2224,0,12,4
2237,0,0,16
2250,0,0,16
2265,0,0,16
2278,0,0,16
2291,0,0,16
2306,0,6,10
2318,0,0,16
2332,0,0,16
2345,0,12,4
2360,0,0,16
2373,0,0,16
2386,0,0,16
2401,0,13,3
2415,0,0,16
2428,0,0,16
2442,0,0,16
2456,0,12,4
2470,0,0,16
2485,0,12,4
2498,0,0,16
2512,0,13,3
2527,0,12,4
2541,0,12,4
2555,0,0,16
2569,0,0,16
2582,0,0,16
2596,0,0,16
2610,0,13,3
2624,0,0,16
2638,0,12,4
2652,0,0,16
2666,0,5,11
2679,0,0,16
2693,0,0,16
2706,0,0,16
2719,0,0,16
2734,0,0,16
2747,0,0,16
2760,0,0,16
2774,0,0,16
2787,0,0,16
2801,0,0,16
2814,0,0,16
2828,0,0,16
2842,0,12,4
2856,0,12,4
2871,0,0,16
2884,0,0,16
2897,0,0,16
2912,0,12,4
2925,0,0,16
2939,0,12,4
2955,0,12,4
2968,0,0,16
2981,0,0,16
2996,0,12,4
3010,0,0,16
3023,0,0,16
3037,0,0,16
3051,0,12,4
3065,0,0,16
3080,0,12,4
3093,0,0,16
3106,0,0,16
3120,0,0,16
3134,0,0,16
3148,0,12,4
3162,0,6,10
3176,0,12,4
3189,0,0,16
3204,0,0,16
3217,0,0,16
3230,0,0,16
3245,0,12,4
3259,0,12,4
3273,0,0,16
3287,0,0,16
3300,0,0,16
3313,0,0,16
3328,0,12,4
3342,0,13,3
3356,0,0,16
3369,0,0,16
3384,0,12,4
3398,0,0,16
3411,0,0,16
3425,0,0,16
3439,0,12,4
3452,0,0,16
3467,0,0,16
3481,0,12,4
3494,0,0,16
3508,0,0,16
3521,0,0,16
3535,0,0,16
3550,0,13,3
3563,0,0,16
3576,0,0,16
3591,0,12,4
3605,0,0,16
3618,0,0,16
3632,0,0,16
3646,0,12,4
3660,0,0,16
3674,0,12,4
3688,0,0,16
3701,0,0,16
3715,0,0,16
3729,0,0,16
3742,0,0,16
3756,0,0,16
3769,0,0,16
3782,0,0,16
3796,0,6,10
3810,0,0,16
3823,0,0,16
3837,0,12,4
3851,0,0,16
3865,0,0,16
3878,0,0,16
3893,0,12,4
3907,0,12,4
3921,0,12,4
3936,0,0,16
3950,0,12,4
3964,0,12,4
3978,0,0,16
3992,0,12,4
4006,0,0,16
4020,0,0,16
4034,0,12,4
4047,0,0,16
4062,0,0,16
4075,0,0,16
4088,0,0,16
4102,0,0,16
4115,0,0,16
4129,0,0,16
4143,0,0,16
4157,0,12,4
4170,0,0,16
4184,0,0,16
4198,0,0,16
4211,0,0,16
4226,0,12,4
4239,0,0,16
4253,0,12,4
4268,0,12,4
4282,0,9,7
4296,0,12,4
4311,0,12,4
4325,0,12,4
4339,0,13,3
4354,0,0,16
4368,0,12,4
4381,0,0,16
4396,0,0,16
4409,0,0,16
4422,0,0,16
4436,0,13,3
4451,0,13,3
4465,0,13,3
4481,0,12,4
4494,0,0,16
4508,0,12,4
4523,0,12,4
4537,0,0,16
4550,0,0,16
4563,0,0,16
4577,0,0,16
4590,0,0,16
4604,0,0,16
4619,0,12,4
4632,0,0,16
4646,0,12,4
4661,0,13,3
4675,0,0,16
4688,0,0,16
4702,0,0,16
4715,0,0,16
4729,0,0,16
4743,0,0,16
4756,0,0,16
4769,0,0,16
4783,0,0,16
4797,0,0,16
4811,0,12,4
4825,0,0,16
4838,0,0,16
4852,0,12,4
4867,0,12,4
4881,0,0,16
4894,0,0,16
4908,0,0,16
4921,0,0,16
4935,0,0,16
4950,0,12,4
4963,0,0,16
4976,0,0,16
4989,0,0,16
5004,0,0,16
5017,0,0,16
5031,0,12,4
5046,0,7,9
5059,0,12,4
5073,0,0,16
5088,0,12,4
5102,0,12,4
5116,0,12,4
5131,0,0,16
5144,0,6,10
5157,0,0,16
5171,0,0,16
5185,0,12,4
5199,0,12,4
5214,0,0,16
5227,0,0,16
5241,0,12,4
5256,0,12,4
5270,0,12,4
5284,0,0,16
5299,0,12,4
5312,0,0,16
5326,0,0,16
5340,0,12,4
5354,0,0,16
5367,0,0,16
5381,0,0,16
5395,0,0,16
5409,0,12,4
5424,0,12,4
5438,0,12,4
5452,0,4,12
5466,0,0,16
5480,0,12,4
5493,0,0,16
5507,0,0,16
5520,0,0,16
5534,0,0,16
5548,0,0,16
5561,0,1,15
5574,0,0,16
5587,0,0,16
5602,0,0,16
5615,0,0,16
5628,0,0,16
5642,0,0,16
5656,0,0,16
5669,0,0,16
5683,0,0,16
5696,0,0,16
5710,0,8,8
5724,0,0,16
5737,0,13,3
5751,0,0,16
5765,0,0,16
5778,0,0,16
5792,0,13,3
5807,0,0,16
5820,0,0,16
5834,0,12,4
5848,0,0,16
5862,0,0,16
5876,0,12,4
5890,0,0,16
5904,0,12,4
5917,0,0,16
5932,0,12,4
5946,0,0,16
5959,0,0,16
5974,0,12,4
5988,0,12,4
6002,0,13,3
6017,0,1,15
6031,0,12,4
6044,0,0,16
6059,0,0,16
6072,0,0,16
6085,0,0,16
6099,0,12,4
6114,0,12,4
6128,0,0,16
6141,0,3,13
6156,0,12,4
6169,0,0,16
6182,0,0,16
6197,0,0,16
6210,0,0,16
6223,0,0,16
6238,0,12,4
6252,0,12,4
6266,0,0,16
6281,0,12,4
6295,0,12,4
6309,0,12,4
6324,0,12,4
6338,0,0,16
6352,0,12,4
6367,0,12,4
6380,0,0,16
6394,0,0,16
