T3,SP3,Y3,YN3
1,0,13,3
3,0,11,5
4,0,11,5
6,0,11,5
7,0,9,7
9,0,12,4
10,0,10,6
14,0,11,5
27,0,12,4
39,0,12,4
52,0,13,3
64,0,12,4
76,0,13,3
90,0,12,4
102,0,13,3
115,0,12,4
129,0,12,4
142,0,12,4
156,0,13,3
169,0,13,3
183,0,12,4
196,0,12,4
209,0,12,4
224,0,12,4
237,0,12,4
250,0,12,4
264,0,12,4
277,0,12,4
291,0,12,4
305,0,12,4
318,0,12,4
331,0,12,4
345,0,12,4
359,0,12,4
372,0,11,5
386,0,12,4
399,0,12,4
412,0,11,5
427,0,12,4
440,0,12,4
452,0,0,16
465,0,12,4
479,0,12,4
493,0,11,5
506,0,12,4
520,0,12,4
533,0,11,5
546,0,12,4
561,0,12,4
574,0,12,4
587,0,12,4
601,0,12,4
614,0,12,4
628,0,12,4
642,0,12,4
655,0,12,4
668,0,13,3
681,0,12,4
696,0,12,4
709,0,12,4
722,0,12,4
736,0,12,4
750,0,13,3
763,0,12,4
777,0,12,4
790,0,12,4
803,0,13,3
818,0,13,3
831,0,12,4
844,0,12,4
858,0,13,3
871,0,13,3
885,0,12,4
899,0,12,4
912,0,12,4
925,0,13,3
939,0,13,3
953,0,12,4
966,0,12,4
978,0,0,16
992,0,12,4
1005,0,13,3
1020,0,12,4
1035,0,12,4
1049,0,12,4
1063,0,12,4
1078,0,12,4
1093,0,11,5
1107,0,12,4
1122,0,12,4
1136,0,12,4
1150,0,12,4
1166,0,12,4
1180,0,12,4
1195,0,12,4
1209,0,13,3
1224,0,12,4
1239,0,12,4
1253,0,12,4
1267,0,12,4
1283,0,13,3
1297,0,12,4
1311,0,12,4
1326,0,12,4
1340,0,13,3
1355,0,13,3
1370,0,12,4
1384,0,12,4
1398,0,13,3
1413,0,12,4
1428,0,12,4
1442,0,12,4
1457,0,12,4
1471,0,13,3
1486,0,12,4
1501,0,12,4
1515,0,12,4
1529,0,12,4
1544,0,12,4
1559,0,13,3
1573,0,12,4
1588,0,12,4
1602,0,12,4
1617,0,12,4
1632,0,12,4
1646,0,13,3
1660,0,12,4
1675,0,13,3
1690,0,12,4
1704,0,12,4
1719,0,13,3
1733,0,12,4
1748,0,13,3
1763,0,12,4
1777,0,12,4
1792,0,12,4
1806,0,12,4
1821,0,12,4
1836,0,12,4
1850,0,12,4
1864,0,12,4
1879,0,12,4
1894,0,12,4
1908,0,12,4
1923,0,12,4
1937,0,12,4
1952,0,12,4
1967,0,12,4
1981,0,12,4
1995,0,12,4
2010,0,12,4
2025,0,12,4
2039,0,12,4
2054,0,12,4
2068,0,12,4
2083,0,12,4
2098,0,12,4
2112,0,12,4
2126,0,12,4
2141,0,12,4
2156,0,13,3
2170,0,12,4
2185,0,12,4
2199,0,12,4
2214,0,13,3
2229,0,13,3
2243,0,12,4
2257,0,12,4
2272,0,12,4
2287,0,12,4
2301,0,12,4
2316,0,12,4
2330,0,12,4
2344,0,13,3
2360,0,12,4
2374,0,12,4
2388,0,12,4
2403,0,12,4
2418,0,12,4
2433,0,12,4
2447,0,12,4
2461,0,12,4
2476,0,12,4
2491,0,12,4
2505,0,12,4
2520,0,12,4
2534,0,12,4
2548,0,12,4
2564,0,12,4
2578,0,12,4
2592,0,12,4
2607,0,12,4
2622,0,12,4
2636,0,12,4
2651,0,12,4
2665,0,13,3
2679,0,12,4
2695,0,12,4
2709,0,12,4
2723,0,12,4
2738,0,12,4
2753,0,11,5
2767,0,12,4
2782,0,12,4
2796,0,12,4
2810,0,12,4
2826,0,12,4
2840,0,12,4
2854,0,12,4
2869,0,12,4
2884,0,12,4
2898,0,12,4
2913,0,12,4
2927,0,12,4
2941,0,12,4
2957,0,12,4
2971,0,12,4
2985,0,12,4
3000,0,12,4
3014,0,12,4
3030,0,12,4
3044,0,12,4
3058,0,12,4
3073,0,12,4
3088,0,12,4
3102,0,12,4
3117,0,12,4
3131,0,12,4
3145,0,12,4
3161,0,12,4
3175,0,12,4
3189,0,12,4
3204,0,12,4
3219,0,12,4
3233,0,12,4
3248,0,12,4
3262,0,12,4
3276,0,12,4
3292,0,12,4
3306,0,12,4
3320,0,12,4
3335,0,13,3
3350,0,12,4
3364,0,12,4
3379,0,12,4
3393,0,11,5
3407,0,12,4
3423,0,12,4
3437,0,12,4
3451,0,12,4
3466,0,12,4
3481,0,12,4
3495,0,12,4
3510,0,12,4
3524,0,12,4
3538,0,12,4
3554,0,11,5
3568,0,12,4
3582,0,12,4
3597,0,12,4
3611,0,12,4
3627,0,12,4
3641,0,12,4
3655,0,12,4
3670,0,13,3
3685,0,13,3
3699,0,12,4
3714,0,11,5
3728,0,12,4
3742,0,12,4
3758,0,12,4
3772,0,12,4
3786,0,12,4
3801,0,12,4
3816,0,12,4
3830,0,12,4
3845,0,12,4
3859,0,12,4
3873,0,12,4
3889,0,12,4
3903,0,12,4
3917,0,12,4
3932,0,12,4
3946,0,12,4
3961,0,12,4
3976,0,12,4
3990,0,12,4
4004,0,12,4
4020,0,12,4
4033,0,0,16
4047,0,12,4
4062,0,12,4
4076,0,13,3
4091,0,12,4
4106,0,12,4
4120,0,12,4
4134,0,9,7
4149,0,12,4
4163,0,12,4
4177,0,12,4
4192,0,12,4
4206,0,12,4
4221,0,12,4
4236,0,12,4
4250,0,13,3
4264,0,13,3
4280,0,12,4
4294,0,12,4
4308,0,12,4
4323,0,12,4
4337,0,12,4
4353,0,12,4
4367,0,12,4
4381,0,12,4
4396,0,13,3
4410,0,12,4
4425,0,12,4
4440,0,12,4
4454,0,12,4
4468,0,12,4
4484,0,12,4
4498,0,13,3
4512,0,12,4
4527,0,12,4
4541,0,12,4
4556,0,12,4
4571,0,12,4
4585,0,12,4
4599,0,12,4
4615,0,12,4
4629,0,12,4
4643,0,12,4
4658,0,12,4
4672,0,12,4
4687,0,12,4
4702,0,12,4
4716,0,12,4
4730,0,12,4
4746,0,12,4
4760,0,12,4
4774,0,12,4
4789,0,12,4
4803,0,12,4
4818,0,12,4
4833,0,12,4
4847,0,12,4
4861,0,13,3
4876,0,12,4
4891,0,12,4
4905,0,12,4
4920,0,12,4
4934,0,12,4
4950,0,12,4
4964,0,12,4
4978,0,13,3
4993,0,12,4
5007,0,13,3
5022,0,12,4
5037,0,12,4
5051,0,12,4
5065,0,12,4
5081,0,12,4
5095,0,12,4
5109,0,12,4
5124,0,12,4
5138,0,12,4
5153,0,13,3
5168,0,12,4
5182,0,12,4
5196,0,14,2
5212,0,12,4
5226,0,12,4
5240,0,12,4
5255,0,12,4
5269,0,13,3
5284,0,12,4
5299,0,12,4
5313,0,12,4
5327,0,12,4
5342,0,12,4
5357,0,12,4
5371,0,12,4
5386,0,12,4
5400,0,13,3
5415,0,12,4
5430,0,12,4
5444,0,12,4
5458,0,12,4
5473,0,13,3
5488,0,12,4
5502,0,12,4
5517,0,12,4
5531,0,13,3
5547,0,12,4
5561,0,12,4
5575,0,12,4
5590,0,12,4
5604,0,12,4
5619,0,12,4
5634,0,12,4
5648,0,12,4
5662,0,12,4
5678,0,12,4
5692,0,12,4
5706,0,12,4
5721,0,12,4
5735,0,12,4
5750,0,12,4
5765,0,12,4
5779,0,12,4
5793,0,12,4
5809,0,13,3
5823,0,12,4
5837,0,12,4
5852,0,12,4
5866,0,12,4
5881,0,12,4
5896,0,12,4
5910,0,12,4
5924,0,12,4
5939,0,13,3
5954,0,12,4
5968,0,12,4
5983,0,12,4
5997,0,12,4
6012,0,12,4
6027,0,12,4
6041,0,12,4
6055,0,12,4
6070,0,12,4
6085,0,12,4
6099,0,12,4
6114,0,12,4
6128,0,12,4
6144,0,13,3
6158,0,12,4
6172,0,12,4
6187,0,12,4
6201,0,13,3
6216,0,12,4
6231,0,12,4
6245,0,12,4
6259,0,12,4
6275,0,13,3
6289,0,12,4
6303,0,12,4
6318,0,12,4
6332,0,13,3
6347,0,12,4
6362,0,12,4
6376,0,12,4
6390,0,12,4
6405,0,12,4
6420,0,12,4
6434,0,11,5
6449,0,12,4
6463,0,12,4
6478,0,12,4
6493,0,12,4
6507,0,13,3
6521,0,12,4
6536,0,12,4
6551,0,12,4
6565,0,12,4
6580,0,12,4
6594,0,11,5
6609,0,12,4
6624,0,13,3
6638,0,12,4
6652,0,12,4
6667,0,12,4
6682,0,12,4
6696,0,12,4
6711,0,12,4
6725,0,12,4
6740,0,13,3
6755,0,12,4
6769,0,12,4
6784,0,12,4
6798,0,12,4
6813,0,12,4
6828,0,12,4
6842,0,12,4
6856,0,12,4
6871,0,13,3
6886,0,12,4
6900,0,12,4
6915,0,12,4
6929,0,12,4
6944,0,12,4
6959,0,12,4
6973,0,12,4
6987,0,12,4
7002,0,13,3
7017,0,13,3
7031,0,12,4
7046,0,12,4
7060,0,12,4
7075,0,12,4
7090,0,12,4
7103,0,0,16
7117,0,12,4
7132,0,13,3
7147,0,12,4
7161,0,12,4
7176,0,12,4
7190,0,12,4
7204,0,12,4
7220,0,12,4
7234,0,12,4
7248,0,12,4
7263,0,12,4
7278,0,12,4
7292,0,12,4
7307,0,12,4
7321,0,12,4
7335,0,12,4
7351,0,12,4
7365,0,12,4
7379,0,12,4
7394,0,12,4
7409,0,12,4
7424,0,12,4
7438,0,12,4
7452,0,12,4
7467,0,13,3
7482,0,12,4
7496,0,12,4
7511,0,12,4
7525,0,12,4
7539,0,12,4
7822,50,13,3
7824,50,14,2
7826,50,14,2
7828,50,14,2
7830,50,14,2
7834,50,12,4
7849,50,13,3
7865,50,12,4
7880,50,12,4
7897,50,12,4
7912,50,13,3
7927,50,13,3
7943,50,13,3
7959,50,13,3
7974,50,12,4
7990,50,13,3
8005,50,13,3
8022,50,13,3
8037,50,13,3
8052,50,13,3
8068,50,13,3
8084,50,13,3
8099,50,13,3
8115,50,13,3
8130,50,13,3
