T1,SP1,Y1,YN1
5411,30,18,-2
5427,30,18,-2
5443,30,18,-2
5458,30,17,-1
5474,30,17,-1
5489,30,17,-1
5505,30,18,-2
5521,30,17,-1
5536,30,17,-1
5552,30,17,-1
5567,30,18,-2
5583,30,19,-3
5599,30,19,-3
5614,30,17,-1
5629,30,17,-1
5646,30,17,-1
5661,30,18,-2
5677,30,18,-2
5692,30,17,-1
5707,30,17,-1
5724,30,17,-1
5739,30,17,-1
5754,30,16,0
5770,30,17,-1
5786,30,19,-3
5801,30,19,-3
5817,30,18,-2
5832,30,19,-3
5849,30,19,-3
5864,30,19,-3
5879,30,17,-1
5895,30,18,-2
5911,30,18,-2
5926,30,17,-1
5942,30,17,-1
5957,30,18,-2
5974,30,19,-3
5989,30,17,-1
6004,30,17,-1
6020,30,16,0
6035,30,16,0
6051,30,16,0
6067,30,16,0
6082,30,16,0
6097,30,16,0
6113,30,16,0
6129,30,15,1
6145,30,16,0
6160,30,16,0
6175,30,16,0
6192,30,15,1
6207,30,15,1
6222,30,15,1
6238,30,15,1
6254,30,15,1
6269,30,15,1
6285,30,15,1
6300,30,15,1
6316,30,15,1
6332,30,15,1
6347,30,15,1
6363,30,15,1
6378,30,15,1
6394,30,14,2
6410,30,15,1
6425,30,15,1
6440,30,15,1
6457,30,15,1
6472,30,15,1
6488,30,15,1
6503,30,15,1
6519,30,15,1
6535,30,14,2
6550,30,15,1
6565,30,15,1
6581,30,15,1
6597,30,15,1
6612,30,15,1
6628,30,15,1
6643,30,15,1
6660,30,15,1
6675,30,14,2
6690,30,15,1
6706,30,15,1
6722,30,15,1
6737,30,15,1
6753,30,15,1
6768,30,15,1
6784,30,15,1
6800,30,15,1
6815,30,14,2
6831,30,15,1
6846,30,15,1
6862,30,15,1
6878,30,15,1
6893,30,15,1
6908,30,15,1
6925,30,15,1
6940,30,15,1
6956,30,15,1
6971,30,15,1
6987,30,15,1
7003,30,15,1
7018,30,15,1
7033,30,15,1
7049,30,15,1
7065,30,15,1
7080,30,15,1
7096,30,15,1
7111,30,15,1
7128,30,15,1
7143,30,15,1
7158,30,15,1
7174,30,14,2
7190,30,15,1
7205,30,15,1
7221,30,16,0
7236,30,16,0
7252,30,15,1
7268,30,15,1
7283,30,15,1
7299,30,15,1
7314,30,15,1
7330,30,15,1
7346,30,15,1
7361,30,15,1
7376,30,15,1
7393,30,15,1
7408,30,15,1
7424,30,15,1
7439,30,15,1
7455,30,14,2
7471,30,15,1
7486,30,15,1
7501,30,14,2
7517,30,14,2
7533,30,14,2
7548,30,14,2
7564,30,14,2
7579,30,14,2
7596,30,14,2
7611,30,14,2
7626,30,14,2
7642,30,14,2
7658,30,15,1
7673,30,15,1
7689,30,15,1
7704,30,15,1
7720,30,15,1
7736,30,14,2
7751,30,15,1
7767,30,15,1
7782,30,15,1
7798,30,15,1
7814,30,15,1
7829,30,15,1
7844,30,14,2
7861,30,14,2
7876,30,14,2
7891,30,14,2
7907,30,14,2
7923,30,14,2
7939,30,14,2
7954,30,14,2
7969,30,14,2
7986,30,14,2
8001,30,14,2
8016,30,14,2
8032,30,14,2
8047,30,14,2
8064,30,14,2
8079,30,14,2
8094,30,14,2
8110,30,14,2
8126,30,14,2
8141,30,14,2
8157,30,15,1
8172,30,14,2
8188,30,15,1
8204,30,14,2
8219,30,14,2
8235,30,14,2
8250,30,14,2
8266,30,14,2
8282,30,15,1
8297,30,15,1
8312,30,15,1
8329,30,15,1
8344,30,15,1
8359,30,15,1
8375,30,14,2
8391,30,15,1
8407,30,15,1
8422,30,14,2
8437,30,14,2
8454,30,15,1
8469,30,15,1
8484,30,15,1
8500,30,15,1
8516,30,14,2
8531,30,15,1
8547,30,15,1
8562,30,15,1
8578,30,15,1
8594,30,15,1
8609,30,15,1
8625,30,15,1
8640,30,15,1
8656,30,14,2
8672,30,15,1
8687,30,15,1
8702,30,15,1
8719,30,15,1
8734,30,15,1
8750,30,15,1
8765,30,15,1
8780,30,15,1
8797,30,15,1
8812,30,15,1
8827,30,15,1
8843,30,15,1
8859,30,15,1
8875,30,14,2
8890,30,15,1
8905,30,15,1
8922,30,15,1
8937,30,15,1
8952,30,15,1
8968,30,15,1
8984,30,15,1
8999,30,15,1
9015,30,14,2
9030,30,15,1
9046,30,15,1
9062,30,15,1
9077,30,15,1
9093,30,15,1
9108,30,15,1
9124,30,15,1
9140,30,15,1
9155,30,15,1
9170,30,15,1
9187,30,15,1
9202,30,15,1
9218,30,15,1
9233,30,15,1
9249,30,15,1
9265,30,15,1
9280,30,15,1
9295,30,15,1
9311,30,16,0
9327,30,15,1
9342,30,15,1
9358,30,15,1
9373,30,15,1
9390,30,15,1
9405,30,15,1
9420,30,15,1
9436,30,14,2
9452,30,15,1
9467,30,15,1
9483,30,15,1
9498,30,15,1
9513,30,15,1
9530,30,15,1
9545,30,15,1
9561,30,15,1
9576,30,16,0
9592,30,15,1
9608,30,15,1
9623,30,15,1
9638,30,15,1
9655,30,15,1
9670,30,15,1
9686,30,15,1
9701,30,15,1
9717,30,15,1
9733,30,15,1
9748,30,15,1
9763,30,15,1
9780,30,15,1
9795,30,15,1
9810,30,15,1
9826,30,15,1
9841,30,15,1
9858,30,15,1
9873,30,15,1
9888,30,15,1
9904,30,15,1
9920,30,15,1
9935,30,14,2
9951,30,15,1
9966,30,15,1
9982,30,15,1
9998,30,15,1
10013,30,16,0
10030,30,16,0
10047,30,16,0
10063,30,15,1
10080,30,15,1
10096,30,15,1
10114,30,15,1
10130,30,15,1
10146,30,15,1
10163,30,15,1
10180,30,15,1
10196,30,14,2
10213,30,15,1
10229,30,14,2
10246,30,14,2
10263,30,14,2
10279,30,14,2
10296,30,14,2
10312,30,14,2
10330,30,14,2
10346,30,14,2
10362,30,14,2
10379,30,14,2
10396,30,14,2
10413,30,14,2
10429,30,14,2
10445,30,14,2
10463,30,14,2
10479,30,14,2
10496,30,14,2
10512,30,14,2
10529,30,14,2
10546,30,14,2
10562,30,14,2
10578,30,14,2
10596,30,14,2
10612,30,14,2
10629,30,14,2
10645,30,14,2
10662,30,14,2
10679,30,14,2
10695,30,14,2
10712,30,14,2
10729,30,14,2
10745,30,14,2
10762,30,14,2
10778,30,14,2
10796,30,14,2
10812,30,15,1
10828,30,14,2
10845,30,14,2
10862,30,14,2
10878,30,14,2
10895,30,13,3
10911,30,14,2
10929,30,14,2
10945,30,14,2
10961,30,14,2
10978,30,14,2
10995,30,14,2
11012,30,14,2
11028,30,14,2
11044,30,14,2
11062,30,14,2
11078,30,14,2
11095,30,14,2
11111,30,14,2
11128,30,14,2
11145,30,14,2
11161,30,14,2
11177,30,14,2
11195,30,14,2
11211,30,14,2
11228,30,14,2
11244,30,14,2
11261,30,14,2
11278,30,15,1
11294,30,14,2
11311,30,15,1
11328,30,15,1
11344,30,15,1
11361,30,15,1
11377,30,15,1
11395,30,15,1
11411,30,15,1
11427,30,15,1
11444,30,15,1
11461,30,14,2
11478,30,14,2
11494,30,14,2
11510,30,14,2
11528,30,14,2
11544,30,14,2
11560,30,14,2
11577,30,14,2
11594,30,14,2
11611,30,14,2
11627,30,14,2
11643,30,14,2
11661,30,14,2
11677,30,14,2
11694,30,14,2
11710,30,14,2
11727,30,14,2
11744,30,14,2
11760,30,14,2
11777,30,15,1
11794,30,15,1
11810,30,15,1
11827,30,15,1
11843,30,15,1
11860,30,15,1
11877,30,14,2
11893,30,15,1
11910,30,15,1
11927,30,15,1
11943,30,15,1
11960,30,15,1
11976,30,14,2
11994,30,15,1
12010,30,15,1
12026,30,15,1
12044,30,15,1
12060,30,15,1
12077,30,14,2
12093,30,15,1
12109,30,15,1
12127,30,15,1
12143,30,15,1
12160,30,15,1
12176,30,14,2
12193,30,15,1
12210,30,15,1
12226,30,15,1
12242,30,15,1
12260,30,15,1
12276,30,14,2
12293,30,15,1
12309,30,15,1
12326,30,14,2
12343,30,15,1
12359,30,15,1
12376,30,14,2
12393,30,15,1
12409,30,15,1
12426,30,15,1
12442,30,15,1
12460,30,15,1
12476,30,14,2
12492,30,15,1
12509,30,15,1
12526,30,15,1
12542,30,15,1
12559,30,15,1
12576,30,15,1
12593,30,15,1
12609,30,15,1
12625,30,15,1
12643,30,15,1
12659,30,15,1
12676,30,15,1
12692,30,15,1
12709,30,15,1
12726,30,15,1
12742,30,15,1
12759,30,15,1
12776,30,15,1
12792,30,15,1
12809,30,15,1
12825,30,15,1
12841,30,15,1
12859,30,15,1
12875,30,15,1
12892,30,15,1
12909,30,15,1
12925,30,15,1
12942,30,15,1
12958,30,16,0
12976,30,16,0
12992,30,17,-1
13008,30,18,-2
13025,30,18,-2
13042,30,18,-2
13059,30,15,1
13075,30,14,2
13091,30,14,2
13108,30,14,2
13125,30,14,2
13142,30,14,2
13158,30,14,2
13174,30,14,2
13192,30,14,2
13208,30,13,3
13224,30,13,3
13241,30,13,3
13258,30,14,2
13275,30,14,2
13291,30,14,2
13307,30,14,2
13325,30,14,2
13341,30,14,2
13358,30,14,2
13374,30,14,2
13391,30,13,3
13408,30,13,3
13424,30,13,3
13441,30,14,2
13458,30,14,2
13474,30,14,2
13491,30,13,3
13507,30,13,3
13524,30,14,2
13541,30,14,2
13557,30,13,3
13574,30,13,3
13591,30,13,3
13607,30,13,3
13624,30,13,3
13640,30,13,3
13658,30,13,3
13674,30,13,3
13690,30,13,3
13707,30,13,3
13724,30,13,3
13741,30,13,3
13757,30,13,3
13773,30,13,3
13791,30,13,3
13807,30,13,3
13824,30,13,3
13840,30,13,3
13857,30,13,3
13874,30,13,3
13890,30,14,2
13906,30,14,2
13924,30,14,2
13940,30,13,3
13957,30,13,3
13973,30,13,3
13990,30,13,3
14007,30,14,2
14023,30,14,2
14040,30,14,2
14057,30,13,3
14073,30,14,2
14090,30,14,2
14106,30,14,2
14124,30,14,2
14140,30,14,2
14156,30,13,3
14173,30,14,2
14190,30,14,2
14206,30,14,2
14223,30,14,2
14239,30,14,2
14257,30,13,3
14273,30,14,2
14289,30,14,2
14306,30,14,2
14323,30,14,2
14340,30,14,2
14356,30,13,3
14372,30,14,2
14390,30,14,2
14406,30,14,2
14423,30,14,2
14439,30,14,2
14456,30,13,3
14473,30,14,2
14489,30,14,2
14505,30,14,2
14523,30,14,2
14539,30,14,2
14556,30,14,2
14572,30,14,2
14589,30,14,2
14606,30,14,2
14622,30,14,2
14639,30,14,2
14656,30,14,2
14672,30,14,2
14689,30,14,2
14705,30,14,2
14723,30,14,2
14739,30,14,2
14755,30,14,2
14772,30,14,2
14789,30,14,2
14806,30,14,2
14822,30,14,2
14838,30,14,2
14856,30,14,2
14872,30,13,3
14888,30,13,3
14905,30,13,3
14922,30,14,2
14939,30,14,2
14955,30,14,2
14971,30,14,2
14989,30,14,2
15005,30,14,2
15022,30,14,2
15038,30,14,2
15055,30,14,2
15072,30,14,2
15088,30,14,2
15105,30,14,2
15122,30,14,2
15138,30,14,2
15155,30,14,2
15171,30,14,2
15188,30,14,2
15205,30,14,2
15221,30,14,2
15238,30,14,2
15255,30,14,2
15271,30,13,3
15288,30,13,3
15304,30,13,3
15322,30,13,3
15338,30,13,3
15354,30,13,3
15371,30,13,3
15388,30,13,3
15405,30,13,3
15421,30,13,3
15437,30,13,3
15455,30,13,3
15471,30,13,3
15488,30,13,3
15504,30,13,3
15521,30,13,3
15538,30,13,3
15554,30,13,3
15570,30,13,3
15588,30,13,3
15604,30,13,3
15621,30,13,3
15637,30,13,3
15654,30,13,3
15671,30,13,3
15687,30,13,3
15704,30,13,3
15721,30,13,3
15737,30,13,3
15754,30,13,3
15770,30,13,3
15788,30,13,3
15804,30,13,3
15820,30,13,3
15837,30,13,3
15854,30,13,3
15870,30,13,3
15887,30,14,2
15903,30,14,2
15921,30,13,3
15937,30,13,3
15953,30,13,3
15970,30,13,3
15987,30,13,3
16004,30,13,3
16020,30,13,3
16036,30,13,3
16054,30,13,3
16070,30,13,3
16087,30,13,3
16103,30,13,3
16120,30,13,3
16137,30,13,3
16153,30,13,3
16169,30,13,3
16187,30,13,3
16203,30,13,3
16220,30,13,3
16236,30,13,3
16253,30,13,3
16270,30,13,3
16286,30,14,2
16303,30,14,2
16320,30,13,3
16336,30,13,3
16353,30,13,3
16369,30,13,3
16387,30,13,3
16403,30,13,3
16419,30,13,3
16436,30,13,3
16453,30,13,3
16470,30,13,3
16486,30,14,2
16502,30,14,2
16520,30,14,2
16536,30,14,2
16552,30,14,2
16569,30,13,3
16586,30,13,3
16603,30,13,3
16619,30,13,3
16635,30,13,3
16653,30,13,3
16669,30,14,2
16686,30,14,2
16702,30,14,2
16719,30,13,3
16736,30,13,3
16752,30,13,3
16769,30,13,3
16786,30,13,3
16802,30,14,2
16819,30,14,2
16835,30,14,2
16852,30,14,2
16869,30,14,2
16885,30,14,2
16902,30,14,2
16919,30,14,2
16935,30,14,2
16952,30,14,2
16968,30,14,2
16986,30,14,2
17002,30,14,2
17018,30,14,2
17035,30,13,3
17052,30,14,2
17069,30,14,2
17085,30,14,2
17101,30,14,2
17119,30,14,2
17135,30,14,2
17152,30,14,2
17168,30,14,2
17185,30,14,2
17202,30,14,2
17218,30,13,3
17234,30,14,2
17252,30,14,2
17268,30,14,2
17285,30,14,2
17301,30,14,2
17318,30,13,3
17335,30,14,2
17351,30,14,2
17368,30,14,2
